State,Income,Tax rate
AK,10000000,0
AZ,53000,0.0259
AZ,106000,0.0334
AZ,318000,0.0417
AZ,10000000,0.045
AR,4000,0.02
AR,8000,0.04
AR,79300,0.059
AR,10000000,0.066
CA,17618,0.01
CA,41766,0.02
CA,65920,0.04
CA,91506,0.06
CA,115648,0.08
CA,590746,0.093
CA,708890,0.103
CA,1000000,0.113
CA,1181484,0.123
CA,10000000,0.133
CO,10000000,4.63
AK,10000000,0
FL,10000000,0
TX,10000000,0
NY,0,0.04
NY,17150,0.045
NY,23600,0.0525
NY,27900,0.059
NY,43000,0.0609
NY,161550,0.0641
NY,323200,0.0685
NY,2155350,0.0882
NC,10000000,5.25%
NJ,0,0.014
NJ,20000,0.0175
NJ,50000,0.0245
NJ,70000,0.035
NJ,80000,0.05525
NJ,150000,0.0637
NJ,500000,0.0897
NJ,5000000,0.1075
WA,10000000,0
PA,10000000,0.0307
VA,0,0.02
VA,3000,0.03
VA,5000,0.05
VA,17000,0.0575
WS,0,0.04
WS,15960,0.0521
WS,31910,0.0627
WS,351310,0.0765
DC,0,0.04
DC,10000,0.06
DC,40000,0.065
DC,60000,0.085
DC,350000,0.0875
DC,1000000,0.0895
UT,1000000000,0.0495
TN,1000000000,0.01
OR,0,0.05
OR,7100,0.07
OR,17800,0.09
OR,250000,0.099
MA,1000000000,0.05
CT,0,0.03
CT,20000,0.05
CT,100000,0.055
CT,200000,0.06
CT,400000,0.065
CT,500000,0.069
CT,1000000,0.0699
MT,0,0.01
MT,3100,0.02
MT,5400,0.03
MT,8200,0.04
MT,11100,0.05
MT,14300,0.06
MT,18400,0.069
HA,0,0.014
HA,4800,0.032
HA,9600,0.055
HA,19200,0.064
HA,28800,0.068
HA,38400,0.072
HA,48000,0.076
HA,72000,0.079
HA,96000,0.0825
HA,300000,0.09
HA,350000,0.1
HA,400000,0.11
KS,0,0.031
KS,30000,0.0525
KS,60000,0.057
MD,0,0.02
MD,1000,0.03
MD,2000,0.04
MD,3000,0.0475
MD,150000,0.05
MD,175000,0.0525
MD,225000,0.055
MD,300000,0.0575
MN,0,0.0535
MN,39410,0.068
MN,156570,0.0785
MN,273470,0.0985
