State,Income,Tax rate
AZ,26500,0.0259
AZ,53000,0.0334
AZ,159000,0.0417
AZ,10000000,0.045
AR,4000,0.02
AR,8000,0.04
AR,79300,0.059
AR,10000000,0.066
CA,8809,0.01
CA,20883,0.02
CA,32960,0.04
CA,45753,0.06
CA,57824,0.08
CA,295373,0.093
CA,354445,0.103
CA,590742,0.113
CA,1000000,0.123
CA,10000000,0.133
CO,10000000,0.0463
AK,10000000,0
FL,10000000,0
TX,10000000,0
NY,0,0.04
NY,8500,0.045
NY,11700,0.0525
NY,13900,0.059
NY,21400,0.0621
NY,80650,0.0649
NY,215400,0.0685
NY,1077550,0.0882
NC,10000000,0.0525
NJ,0,0.014
NJ,20000,0.0175
NJ,35000,0.035
NJ,40000,0.05525
NJ,75000,0.0637
NJ,500000,0.0897
NJ,5000000,0.1075
WA,10000000,0
PA,10000000,0.0307
VA,0,0.02
VA,3000,0.03
VA,5000,0.05
VA,17000,0.0575
WS,0,0.04
WS,11970,0.0521
WS,23930,0.0627
WS,263480,0.0765
DC,0,0.04
DC,10000,0.06
DC,40000,0.065
DC,60000,0.085
DC,350000,0.0875
DC,1000000,0.0895
UT,10000000,0.0495
TN,10000000,0.01
OR,0,0.05
OR,3550,0.07
OR,8900,0.09
OR,125000,0.099
MA,10000000,0.05
CT,0,0.03
CT,10000,0.05
CT,50000,0.055
CT,100000,0.06
CT,200000,0.065
CT,250000,0.069
CT,500000,0.0699
MT,0,0.01
MT,3100,0.02
MT,5400,0.03
MT,8200,0.04
MT,11100,0.05
MT,14300,0.06
MT,18400,0.069
MN,0,0.0535
MN,26960,0.068
MN,88550,0.0785
MN,164400,0.0985
MD,0,0.02
MD,1000,0.03
MD,2000,0.04
MD,3000,0.0475
MD,100000,0.05
MD,125000,0.0525
MD,150000,0.055
MD,250000,0.0575
KS,0,0.031
KS,15000,0.0525
KS,30000,0.057
HA,0,0.014
HA,2400,0.032
HA,4800,0.055
HA,9600,0.064
HA,14400,0.068
HA,19200,0.072
HA,24000,0.076
HA,36000,0.079
HA,48000,0.0825
HA,150000,0.09
HA,175000,0.1
HA,200000,0.11
